created_at,favorite_count,favourites_count,followers_count,retweet_count,tweet_id
2017-06-17 16:52:05,28083,132501,6197737,4788,876120275196170240
2017-06-16 16:11:53,25383,132501,6197737,4385,875747767867523072
2017-06-15 00:13:52,22069,132501,6197738,5026,875144289856114688
2017-06-14 21:06:43,27603,132501,6197738,6176,875097192612077568
2017-06-14 16:04:48,25655,132501,6197739,4806,875021211251597312
2017-06-13 17:29:20,28056,132501,6197739,4743,874680097055178752
2017-06-13 01:14:41,0,132501,6197739,15127,874434818259525634
2017-06-12 16:06:11,26261,132501,6197739,4211,874296783580663808
2017-06-12 00:15:36,22821,132501,6197738,4041,874057562936811520
2017-06-11 21:18:31,34987,132501,6197738,10713,874012996292530176
2017-06-10 16:39:04,24462,132501,6197738,4039,873580283840344065
2017-06-10 00:35:19,0,132501,6197739,1625,873337748698140672
2017-06-09 16:22:42,7339,132501,6197739,1625,873213775632977920
2017-06-09 00:02:31,27625,132501,6197739,5538,872967104147763200
2017-06-08 14:20:41,14849,132501,6197740,3788,872820683541237760
2017-06-08 04:17:07,0,132501,6197740,30,872668790621863937
2017-06-08 01:06:27,20999,132501,6197740,3805,872620804844003328
2017-06-07 16:14:40,41021,132501,6197740,9222,872486979161796608
2017-06-07 01:19:32,34590,132501,6197740,6507,872261713294495745
2017-06-06 16:07:15,34813,132501,6197741,8347,872122724285648897
2017-06-06 00:01:46,38512,132501,6197741,11569,871879754684805121
2017-06-05 16:15:56,20493,132501,6197741,3578,871762521631449091
2017-06-04 23:56:03,20447,132501,6197741,3548,871515927908634625
2017-06-04 00:46:17,0,132501,6197740,5852,871166179821445120
2017-06-03 20:33:19,21167,132501,6197740,5641,871102520638267392
2017-06-03 15:55:36,22939,132501,6197740,3907,871032628920680449
2017-06-03 00:48:22,34089,132501,6197740,6419,870804317367881728
2017-06-02 19:38:25,120,132501,6197740,3,870726314365509632
2017-06-02 15:00:16,12610,132501,6197740,2739,870656317836468226
2017-06-01 20:18:38,83820,132501,6197740,27063,870374049280663552
2017-06-01 16:00:09,22134,132501,6197740,4282,870308999962521604
2017-05-31 23:43:25,37223,132501,6197740,8624,870063196459192321
2017-05-31 04:27:59,43058,132501,6197740,10394,869772420881756160
2017-05-30 23:51:58,28695,132501,6197740,6545,869702957897576449
2017-05-30 16:49:31,16241,132501,6197740,3242,869596645499047938
2017-05-29 16:24:37,20786,132501,6197740,3925,869227993411051520
2017-05-28 17:23:24,66769,132501,6197740,15017,868880397819494401
2017-05-28 01:26:04,0,132501,6197740,2175,868639477480148993
2017-05-28 00:18:35,27867,132501,6197739,6133,868622495443632128
2017-05-27 19:39:34,10367,132501,6197739,2175,868552278524837888
2017-05-26 00:29:37,24623,132501,6197739,4337,867900495410671616
2017-05-25 16:10:44,34640,132501,6197739,7610,867774946302451713
2017-05-24 16:44:18,16490,132501,6197740,2625,867421006826221569
2017-05-23 17:40:04,0,132501,6197740,131,867072653475098625
2017-05-23 16:16:06,32908,132501,6197740,8214,867051520902168576
2017-05-22 18:21:28,20554,132501,6197741,5040,866720684873056260
2017-05-22 16:06:55,19774,132501,6197741,3635,866686824827068416
2017-05-22 00:28:40,124786,132501,6197741,36762,866450705531457537
2017-05-21 16:48:45,53848,132501,6197741,15127,866334964761202691
2017-05-21 00:53:21,0,132501,6197741,8725,866094527597207552
2017-05-19 23:57:46,26221,132501,6197741,5855,865718153858494464
2017-05-19 00:12:11,27134,132501,6197741,5240,865359393868664832
2017-05-18 00:50:50,28684,132501,6197741,8033,865006731092295680
2017-05-17 16:00:15,33145,132501,6197741,9150,864873206498414592
2017-05-16 00:41:21,14981,132501,6197741,3195,864279568663928832
2017-05-15 19:14:50,30955,132501,6197741,9399,864197398364647424
2017-05-15 00:02:33,21166,132501,6197741,4342,863907417377173506
2017-05-14 00:34:33,15690,132501,6197741,4372,863553081350529029
2017-05-13 19:11:30,0,132501,6197741,2604,863471782782697472
2017-05-13 16:33:49,24432,132501,6197742,5544,863432100342583297
2017-05-13 16:15:35,2321,132501,6197741,102,863427515083354112
2017-05-12 17:12:53,8985,132501,6197741,1156,863079547188785154
2017-05-12 16:05:02,8794,132501,6197741,2604,863062471531167744
2017-05-12 00:46:44,19704,132501,6197742,5330,862831371563274240
2017-05-11 17:34:13,17539,132501,6197742,3717,862722525377298433
2017-05-11 00:01:27,21152,132501,6197742,5226,862457590147678208
2017-05-10 00:08:34,76836,132501,6197742,24530,862096992088072192
2017-05-08 00:54:59,37164,132501,6197742,11276,861383897657036800
2017-05-07 18:36:02,17720,132501,6197742,4390,861288531465048066
2017-05-06 23:49:50,17241,132501,6197742,4017,861005113778896900
2017-05-06 22:16:42,0,132501,6197742,2276,860981674716409858
2017-05-06 18:27:40,0,132501,6197741,860,860924035999428608
2017-05-05 18:36:06,7731,132501,6197742,2276,860563773140209665
2017-05-05 16:00:04,24345,132501,6197742,5566,860524505164394496
2017-05-04 23:34:55,18883,132501,6197742,3666,860276583193509888
2017-05-04 17:30:24,17210,132501,6197742,6168,860184849394610176
2017-05-04 17:01:34,0,132501,6197742,32629,860177593139703809
2017-05-04 00:15:58,20161,132501,6197742,4323,859924526012018688
2017-05-03 19:26:06,15885,132501,6197742,3704,859851578198683649
2017-05-03 03:17:27,19201,132501,6197742,1665,859607811541651456
2017-05-02 00:04:57,93109,132501,6197742,32045,859196978902773760
2017-05-01 15:58:40,35054,132501,6197742,14418,859074603037188101
2017-05-01 01:47:28,0,132501,6197744,8610,858860390427611136
2017-05-01 00:40:27,16073,132501,6197744,3679,858843525470990336
2017-04-30 00:02:42,22266,132501,6197744,5137,858471635011153920
2017-04-28 23:57:28,16288,132501,6197744,3091,858107933456039936
2017-04-28 16:08:49,16701,132501,6197744,2745,857989990357356544
2017-04-28 00:00:54,35482,132501,6197744,11267,857746408056729600
2017-04-27 00:38:11,6132,132501,6197744,1733,857393404942143489
2017-04-26 16:00:39,20717,132501,6197744,4817,857263160327368704
2017-04-26 12:48:51,238,132501,6197744,20,857214891891077121
2017-04-26 02:41:43,0,132501,6197745,179,857062103051644929
2017-04-26 00:33:27,19621,132501,6197745,4263,857029823797047296
2017-04-24 20:17:23,0,132501,6197745,11376,856602993587888130
2017-04-24 16:22:16,16913,132501,6197745,3069,856543823941562368
2017-04-24 15:13:52,12281,132501,6197745,2011,856526610513747968
2017-04-24 02:15:55,0,132501,6197745,722,856330835276025856
2017-04-23 23:26:03,533,132501,6197745,17,856288084350160898
2017-04-23 23:01:59,28711,132501,6197745,6726,856282028240666624
2017-04-22 19:15:32,362,132501,6197745,28,855862651834028034
2017-04-22 19:05:32,5071,132501,6197745,1102,855860136149123072
2017-04-22 18:55:51,12305,132501,6197745,2265,855857698524602368
2017-04-22 18:31:02,47197,132501,6197745,18844,855851453814013952
2017-04-22 16:18:34,27658,132501,6197745,5817,855818117272018944
2017-04-21 16:33:22,31196,132501,6197745,8817,855459453768019968
2017-04-21 02:22:29,0,132501,6197745,6404,855245323840757760
2017-04-20 19:16:59,0,132501,6197745,49,855138241867124737
2017-04-19 16:25:34,23832,132501,6197746,6541,854732716440526848
2017-04-18 23:50:52,30638,132501,6197746,7396,854482394044301312
2017-04-18 16:05:17,19734,132501,6197746,5047,854365224396361728
2017-04-17 23:52:16,33381,132501,6197746,8084,854120357044912130
2017-04-17 16:34:26,16910,132501,6197746,3376,854010172552949760
2017-04-17 00:03:50,29970,132501,6197746,6251,853760880890318849
2017-04-16 16:00:07,36599,132501,6197747,10978,853639147608842240
2017-04-15 17:32:18,16281,132501,6197747,3844,853299958564483072
2017-04-14 17:27:40,0,132501,6197748,2183,852936405516943360
2017-04-14 15:51:39,9488,132501,6197748,1991,852912242202992640
2017-04-13 23:59:28,15680,132501,6197748,2323,852672615818899456
2017-04-13 16:05:56,17214,132501,6197748,3805,852553447878664193
2017-04-13 00:03:59,34811,132501,6197748,10732,852311364735569921
2017-04-12 18:25:07,21032,132501,6197748,7399,852226086759018497
2017-04-12 16:00:27,12046,132501,6197748,1709,852189679701164033
2017-04-12 00:23:33,0,132501,6197749,10454,851953902622658560
2017-04-11 18:15:55,0,132501,6197749,23,851861385021730816
2017-04-11 00:24:08,17065,132501,6197749,3753,851591660324737024
2017-04-10 16:00:07,25579,132501,6197749,7671,851464819735769094
2017-04-10 00:06:42,21771,132501,6197749,6220,851224888060895234
2017-04-08 16:54:09,32815,132501,6197749,10126,850753642995093505
2017-04-07 16:10:12,13774,132501,6197749,2839,850380195714523136
2017-04-07 13:04:55,3600,132501,6197749,362,850333567704068097
2017-04-07 00:38:06,17251,132501,6197749,4152,850145622816686080
2017-04-06 16:18:05,21626,132501,6197749,5339,850019790995546112
2017-04-06 00:13:11,32207,132501,6197749,8302,849776966551130114
